Freq.	Ix(x4:e)/Ix(x4:a)
2.12324446200018e+00	(6.62773886072428e+00dB,-1.79994007932435e+02°)
2.12813904598267e+00	(6.62773897844005e+00dB,-1.79994040828249e+02°)
2.13304491314654e+00	(6.62773909561770e+00dB,-1.79994073692588e+02°)
2.13796208950219e+00	(6.62773921225973e+00dB,-1.79994106525625e+02°)
2.14289060112002e+00	(6.62773932836861e+00dB,-1.79994139327534e+02°)
2.14783047413050e+00	(6.62773944394678e+00dB,-1.79994172098488e+02°)
2.15278173472433e+00	(6.62773955899670e+00dB,-1.79994204838659e+02°)
2.15774440915263e+00	(6.62773967352080e+00dB,-1.79994237548221e+02°)
2.16271852372698e+00	(6.62773978752152e+00dB,-1.79994270227346e+02°)
2.16770410481966e+00	(6.62773990100125e+00dB,-1.79994302876207e+02°)
2.17270117886371e+00	(6.62774001396240e+00dB,-1.79994335494976e+02°)
2.17770977235312e+00	(6.62774012640738e+00dB,-1.79994368083826e+02°)
2.18272991184296e+00	(6.62774023833854e+00dB,-1.79994400642927e+02°)
2.18776162394951e+00	(6.62774034975828e+00dB,-1.79994433172453e+02°)
2.19280493535041e+00	(6.62774046066893e+00dB,-1.79994465672575e+02°)
2.19785987278478e+00	(6.62774057107286e+00dB,-1.79994498143464e+02°)
2.20292646305342e+00	(6.62774068097240e+00dB,-1.79994530585292e+02°)
2.20800473301886e+00	(6.62774079036988e+00dB,-1.79994562998230e+02°)
2.21309470960560e+00	(6.62774089926760e+00dB,-1.79994595382449e+02°)
2.21819641980018e+00	(6.62774100766789e+00dB,-1.79994627738121e+02°)
2.22330989065136e+00	(6.62774111557303e+00dB,-1.79994660065416e+02°)
2.22843514927026e+00	(6.62774122298530e+00dB,-1.79994692364505e+02°)
2.23357222283049e+00	(6.62774132990699e+00dB,-1.79994724635558e+02°)
2.23872113856830e+00	(6.62774143634035e+00dB,-1.79994756878746e+02°)
2.24388192378272e+00	(6.62774154228764e+00dB,-1.79994789094239e+02°)
2.24905460583574e+00	(6.62774164775110e+00dB,-1.79994821282207e+02°)
2.25423921215239e+00	(6.62774175273297e+00dB,-1.79994853442820e+02°)
